"word","valence","valence_mean_sd","dominance","dominance_mean_sd","arousal","arousal_mean_sd","frequency"
"clumsy","4","2.2200000286102","5.1799998283","2.400000095367432","3.8599998951","1.789999961853","6"
"coarse","4.5500001907","1.4199999570847","4.2100000381","1.840000033378601","5","1.4299999475479","10"
"coast","5.9800000191","1.8600000143051","4.5900001526","2.309999942779541","5.6700000763","1.710000038147","61"
"coin","6.0199999809","1.960000038147","4.2899999619","2.480000019073486","5.6599998474","1.6799999475479","10"
"cold","4.0199999809","1.9900000095367","5.1900000572","2.230000019073486","4.6900000572","1.7300000190735","171"
"color","7.0199999809","1.5700000524521","4.7300000191","2.640000104904175","6.1700000763","1.8200000524521","141"
"column","5.1700000763","0.8500000238419","3.6199998856","1.909999966621399","4.8099999428","1.5800000429153","71"
"comfort","7.0700001717","2.1400001049042","3.9300000668","2.849999904632568","5.6999998093","2.0499999523163","43"
"cook","6.1599998474","1.8899999856949","4.4400000572","1.960000038146973","5.1399998665","1.4900000095367","47"
"cord","5.0999999046","1.0900000333786","3.5399999619","2.089999914169312","5","1.2200000286102","6"
"cork","5.2199997902","1.1299999952316","3.7999999523","2.180000066757202","4.9800000191","1.039999961853","9"
"corner","4.3600001335","1.210000038147","3.9100000858","1.919999957084656","4.1199998856","1.6599999666214","115"
"corridor","4.8800001144","1.1399999856949","3.6300001144","2.410000085830688","5","1.4800000190735","17"
"corrupt","3.3199999332","2.3199999332428","4.6700000763","2.349999904632568","4.6399998665","2.2999999523163","8"
"coward","2.7400000095","1.6399999856949","4.0700001717","2.190000057220459","2.8299999237","1.6100000143051","8"
"crime","2.8900001049","2.0599999427795","5.4099998474","2.690000057220459","4.1199998856","2.2400000095367","34"
"criminal","2.9300000668","1.6599999666214","4.7899999619","2.509999990463257","3.3399999142","1.7300000190735","24"
"crisis","2.7400000095","2.2300000190735","5.4400000572","3.069999933242798","3.5999999046","2.4700000286102","82"
"crude","3.1199998856","1.6499999761581","5.0700001717","2.369999885559082","4.2699999809","1.9400000572205","15"
"crutch","3.4300000668","1.6200000047684","4.1399998665","2.049999952316284","3.9100000858","1.789999961853","1"
"cuisine","6.6399998665","1.4800000190735","4.3899998665","1.990000009536743","5.4099998474","1.1900000572205","1"
"curtains","4.8299999237","0.8299999833107","3.6700000763","1.830000042915344","5.0500001907","1.5599999427795","8"
"cut","3.6400001049","2.0799999237061","5","2.319999933242798","4.6999998093","1.9800000190735","192"
"damage","3.0499999523","1.6499999761581","5.5700001717","2.259999990463257","3.8800001144","1.8600000143051","33"
"danger","2.9500000477","2.2200000286102","7.3200001717","2.069999933242798","3.5899999142","2.3099999427795","70"
"dark","4.7100000381","2.3599998950958","4.2800002098","2.210000038146973","4.8400001526","2.1500000953674","185"
"dawn","6.1599998474","2.3299999237061","4.3899998665","2.809999942779541","5.1599998474","2.2300000190735","28"
"daylight","6.8000001907","2.1700000762939","4.7699999809","2.5","5.4800000191","2.1400001049042","15"
"dazzle","7.2899999619","1.0900000333786","6.3299999237","2.019999980926514","5.6199998856","1.8099999427795","1"
"deceit","2.9000000954","1.6299999952316","5.6799998283","2.460000038146973","3.9500000477","2.1199998855591","2"
"decorate","6.9299998283","1.2999999523163","5.1399998665","2.390000104904175","6.0500001907","1.8600000143051","2"
"deformed","2.4100000858","1.6599999666214","4.0700001717","2.339999914169312","3.9500000477","2.1800000667572","0"
"delayed","3.0699999332","1.7400000095367","5.6199998856","2.390000104904175","3.6400001049","1.9400000572205","25"
"derelict","4.2800002098","1.8400000333786","4.0999999046","1.940000057220459","4.7800002098","1.5599999427795","1"
"destruction","3.1600000858","2.4400000572205","5.8200001717","2.710000038146973","3.9300000668","2.289999961853","38"
"detail","5.5500001907","1.5800000429153","4.0999999046","2.240000009536743","5.2100000381","1.6000000238419","72"
"dirt","4.1700000763","1.7699999809265","3.7599999905","2.259999990463257","4.8299999237","1.8200000524521","43"
"discomfort","2.1900000572","1.2300000190735","4.1700000763","2.440000057220459","3.8599998951","2.2599999904633","7"
"disturb","3.6600000858","2","5.8000001907","2.390000104904175","4.5500001907","1.8999999761581","10"
"doll","6.0900001526","1.960000038147","4.2399997711","2.430000066757202","4.6100001335","2.0699999332428","10"
"dollar","7.4699997902","1.7200000286102","6.0700001717","2.670000076293945","6.3299999237","2.4200000762939","46"
"dove","6.9000000954","1.539999961853","3.7899999619","2.279999971389771","5.4800000191","1.7000000476837","4"
"dreary","3.0499999523","1.5800000429153","2.9800000191","2.180000066757202","3.8099999428","1.6399999856949","6"
